"Global_Index", "x_coord", "y_coord", "z_coord", "Pressure", "C<sub>p</sub>", "Mach"
1937, 1.075102765373009e+00, 1.009584992407030e+00, 2.083925363792123e-03, 1.135884359341449e+00, 2.447369322400221e-01, 6.213070749050537e-01
1578, 7.989294718666935e-01, 1.196300000000000e+00, 2.082854147306884e-02, 8.543849314634624e-01, -3.182619235159518e-01, 9.292432231491110e-01
1579, 7.833739051086379e-01, 1.196300000000000e+00, 2.008420415085521e-02, 8.081597246847408e-01, -4.107123370733949e-01, 9.611401549113741e-01
1941, 8.364683208708694e-01, 1.173508298335494e-01, 3.368221783298341e-04, 1.216704025402588e+00, 4.063762643623003e-01, 6.043846733372982e-01
1942, 8.176483999532063e-01, 5.071317488876217e-02, 3.368328660275173e-04, 1.224825202870934e+00, 4.226186192989910e-01, 6.181822725379362e-01
1943, 8.147267778544430e-01, 4.036828309998957e-02, 3.368345326000772e-04, 1.223291642487082e+00, 4.195514985312875e-01, 6.213521388938618e-01
1944, 8.211543464720090e-01, 6.312704503520844e-02, 3.368308683160986e-04, 1.222326192871132e+00, 4.176205992993863e-01, 6.168330245621456e-01
1947, 9.290974642472678e-01, 1.164684524776230e+00, 2.014160046435294e-02, 9.227416213423835e-01, -1.815485437581097e-01, 8.706414155777737e-01
1948, 9.542985198628180e-01, 1.160485067207569e+00, 1.843374742650642e-02, 9.465323963776973e-01, -1.339669936874821e-01, 8.516934086328553e-01
1565, 1.045589382209275e+00, 1.196300000000000e+00, 1.148256926457780e-02, 9.360701085353251e-01, -1.548915693722263e-01, 8.051072093910947e-01
1949, 1.035858087118323e+00, 1.184638296915453e+00, 1.210966549557782e-02, 9.710186979105530e-01, -8.499439062177069e-02, 8.030562856731681e-01
1950, 1.050491008475681e+00, 1.177643115654999e+00, 1.051313458643132e-02, 9.885020068779019e-01, -5.002777268707280e-02, 7.910021252138610e-01
1951, 8.457027953650726e-01, 1.184571750279158e+00, 2.230203455866341e-02, 8.714815068098501e-01, -2.840687728231763e-01, 9.162526879825762e-01
1952, 8.643643612599993e-01, 1.182887404926256e+00, 2.233003416836424e-02, 8.743996314795656e-01, -2.782325234837454e-01, 9.175423067074576e-01
1575, 8.530935583708332e-01, 1.196299999999999e+00, 2.214511091415000e-02, 8.731933974194264e-01, -2.806449916040238e-01, 9.230564442836131e-01
1953, 8.773118537198232e-01, 1.130000139393220e+00, 2.232877271182841e-02, 9.017585841193830e-01, -2.235146182041105e-01, 8.686734359561905e-01
1957, 6.137118333564390e-01, 1.044708493974934e+00, 1.152719109083147e-02, 5.340336579747726e-01, -9.589644704933312e-01, 1.301484745354491e+00
1958, 6.268867904066614e-01, 1.067390385313606e+00, 1.145674959898839e-02, 5.328175837626286e-01, -9.613966189176193e-01, 1.304124687523923e+00
1959, 6.096815677693728e-01, 1.047040495437205e+00, 8.614185621896758e-03, 7.391479888085858e-01, -5.487358088257049e-01, 1.084547382646822e+00
1574, 8.731156993073812e-01, 1.196300000000000e+00, 2.211601052747168e-02, 8.586946594447438e-01, -3.096424675533890e-01, 9.317901903059416e-01
1576, 8.339220096734795e-01, 1.196300000000000e+00, 2.190364941140809e-02, 8.647646750149753e-01, -2.975024364129259e-01, 9.253975258538839e-01
1541, 7.077408998569620e-01, 0.000000000000000e+00, 1.248413458516718e-02, 9.751804611391781e-01, -7.667086416452039e-02, 8.585107602219529e-01
1563, 1.072465956419268e+00, 1.196300000000000e+00, 8.781589815544515e-03, 9.527506824723557e-01, -1.215304214981652e-01, 8.127083473904646e-01
