"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
          57, 0.2826726826, 0.0127099035, 0.0141872166, 0.1489332465, -0.0631701964, 0.0130264364, -0.0023977640, 0.0141872166, 0.2829481187, 22.2403484262, -6.1865680876, -6.2092170047, -6.4615330023, -6.2034499304, -5.6897832927, 2.0000000000, 5.0000000000, 0.8719452500
          58, 0.2826609617, 0.0127025625, 0.0141893630, 0.1489182073, -0.0631557340, 0.0130317688, -0.0024044688, 0.0141893630, 0.2829360227, 22.2522787950, -6.2195039624, -6.2405960704, -6.5047861898, -6.2508879845, -5.7223794348, 2.0000000000, 5.0000000000, 0.8872739991
          59, 0.2826498752, 0.0126965290, 0.0141911879, 0.1489043473, -0.0631425642, 0.0130360656, -0.0024099019, 0.0141911879, 0.2829246298, 22.2619800251, -6.2526380101, -6.2717014694, -6.5466951482, -6.2985559757, -5.7550408476, 2.0000000000, 5.0000000000, 0.9037410855
          60, 0.2826400565, 0.0126917663, 0.0141927325, 0.1488920100, -0.0631309799, 0.0130394217, -0.0024141337, 0.0141927325, 0.2829145709, 22.2695604041, -6.2859161853, -6.3025862942, -6.5872520782, -6.3463887605, -5.7877540410, 2.0000000000, 5.0000000000, 0.9193105022
          61, 0.2826319720, 0.0126882044, 0.0141940383, 0.1488814341, -0.0631211675, 0.0130419414, -0.0024172590, 0.0141940383, 0.2829063078, 22.2751749353, -6.3192503481, -6.3333420354, -6.6265744400, -6.3943103720, -5.8204764778, 2.0000000000, 5.0000000000, 0.9348327835
          62, 0.2826259189, 0.0126857521, 0.0141951396, 0.1488727644, -0.0631132217, 0.0130437276, -0.0024193846, 0.0141951396, 0.2829001324, 22.2790036965, -6.3525292751, -6.3640851712, -6.6648617466, -6.4422334156, -5.8531473107, 2.0000000000, 5.0000000000, 0.9510965188
          63, 0.2826220329, 0.0126843026, 0.0141960651, 0.1488660509, -0.0631071517, 0.0130448801, -0.0024206246, 0.0141960651, 0.2828961746, 22.2812432645, -6.3856229808, -6.3949414311, -6.7023790305, -6.4900537886, -5.8856827507, 2.0000000000, 5.0000000000, 0.9664381186
          64, 0.2826203000, 0.0126837343, 0.0141968427, 0.1488612421, -0.0631028766, 0.0130455011, -0.0024210995, 0.0141968427, 0.2828944138, 22.2821049620, -6.4184014604, -6.4260375712, -6.7394275878, -6.5376574472, -5.9179949997, 2.0000000000, 5.0000000000, 0.9820287188
          65, 0.2826206054, 0.0126839184, 0.0141974980, 0.1488582188, -0.0631002555, 0.0130456901, -0.0024209321, 0.0141974980, 0.2828947286, 22.2818057643, -6.4507529938, -6.4574884892, -6.7762885028, -6.5849232871, -5.9500087236, 2.0000000000, 5.0000000000, 0.9973640164
          66, 0.2826227543, 0.0126847278, 0.0141980499, 0.1488568115, -0.0630991127, 0.0130455348, -0.0024202385, 0.0141980499, 0.2828969176, 22.2805532938, -6.4826010776, -6.4893822096, -6.8131831563, -6.6317384037, -5.9816725350, 2.0000000000, 5.0000000000, 1.0137440006
          67, 0.2826264790, 0.0126860354, 0.0141985153, 0.1488568006, -0.0630992299, 0.0130451176, -0.0024191316, 0.0141985153, 0.2829007068, 22.2785503985, -6.5139206061, -6.5217704583, -6.8502368384, -6.6780081311, -6.0129710250, 2.0000000000, 5.0000000000, 1.0299119989
