"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"
27	8.158672722863028e-01	-3.915076411720702e-02	1.292287362758630e+00	1.181668570842107e+01	2.345698778932151e+00	2.533801285383098e+05	1.013295894818445e+05	2.731539789322331e+02	7.492855845934664e-02	2.813691062744087e-02	
28	8.034034880340656e-01	-4.160632331148030e-02	1.292279877266131e+00	1.190807441193427e+01	2.327101368583072e+00	2.533788897023568e+05	1.013287717086330e+05	2.731533566860401e+02	6.157747222465131e-02	2.833813229299772e-02	
29	7.906321670720340e-01	-4.408078284605962e-02	1.292273135910021e+00	1.199736912509006e+01	2.304803710880123e+00	2.533777914462484e+05	1.013280179034713e+05	2.731527495821189e+02	4.927073781715782e-02	2.853315167877495e-02	
30	7.775629772570845e-01	-4.656891518655407e-02	1.292265921016245e+00	1.208409691554939e+01	2.280131692954380e+00	2.533765941765982e+05	1.013272331381290e+05	2.731521591049965e+02	3.645854292848247e-02	2.872155028181487e-02	
31	7.642156949237243e-01	-4.906323441624420e-02	1.292259268594104e+00	1.216916095090957e+01	2.252479824469985e+00	2.533755031452968e+05	1.013264967048095e+05	2.731515800200960e+02	2.443542378282427e-02	2.890515872405995e-02	
32	7.505899736393787e-01	-5.155999908554187e-02	1.292252517754584e+00	1.225232171420611e+01	2.222041535894968e+00	2.533743878830170e+05	1.013257572342482e+05	2.731510135445851e+02	1.236271817922746e-02	2.908357880772321e-02	
33	7.366952603082479e-01	-5.405240892689941e-02	1.292246357036391e+00	1.233298899003913e+01	2.188130906063856e+00	2.533733816181110e+05	1.013250708168587e+05	2.731504653452757e+02	1.156166494566127e-03	2.925521114584834e-02	
34	7.225614385480075e-01	-5.653138219305300e-02	1.292239796376128e+00	1.241160629696972e+01	2.151601295839075e+00	2.533722917803352e+05	1.013243582115443e+05	2.731499310820020e+02	-1.047793311998800e-02	2.942151129161974e-02	
35	7.081982796293251e-01	-5.899053811725875e-02	1.292233944043357e+00	1.248793056900430e+01	2.111650948114131e+00	2.533713347052697e+05	1.013237074982534e+05	2.731494139377958e+02	-2.110157441791167e-02	2.958163547259289e-02	
36	6.936054469903078e-01	-6.142615384240640e-02	1.292227586079381e+00	1.256296411388351e+01	2.069121948498675e+00	2.533702754034993e+05	1.013230202570035e+05	2.731489051954765e+02	-3.232157656948227e-02	2.973831957226280e-02	
