"Global_Index", "x_coord", "y_coord", "Pressure", "C<sub>p</sub>", "Mach"
62, 2.876793052628680e-01, -9.589546955168764e-02, 1.013162174879688e+05, -1.433845885996781e-01, 3.130563873639365e-02
63, 2.730747436523580e-01, -9.549829015211933e-02, 1.013165421574416e+05, -1.380839868325546e-01, 3.121637445344489e-02
64, 2.586990758305548e-01, -9.494426747621071e-02, 1.013170549234274e+05, -1.297124936126138e-01, 3.110836856339346e-02
121, 1.004427160865258e-01, 6.861197374407560e-02, 1.012363980189970e+05, -1.446529028375378e+00, 4.579694607182516e-02
122, 1.104785483540452e-01, 7.137871562607841e-02, 1.012380479985682e+05, -1.419591218193123e+00, 4.555183314265748e-02
123, 1.209426291893965e-01, 7.401798029683335e-02, 1.012398044761937e+05, -1.390914705047521e+00, 4.529613075374377e-02
124, 1.318019718643465e-01, 7.652221491771015e-02, 1.012415786265759e+05, -1.361949663865270e+00, 4.503321015034762e-02
125, 1.430444966691625e-01, 7.888610021883764e-02, 1.012432948758929e+05, -1.333929924026178e+00, 4.477066321943656e-02
126, 1.546677062026703e-01, 8.110953006828099e-02, 1.012450777151391e+05, -1.304823027166801e+00, 4.450214460584559e-02
127, 1.666594322472299e-01, 8.318943967131130e-02, 1.012468274738839e+05, -1.276256207459897e+00, 4.423751950908648e-02
128, 1.789977379039652e-01, 8.512047297959241e-02, 1.012484760835297e+05, -1.249340762882617e+00, 4.396200409990504e-02
129, 1.916705285026051e-01, 8.690100882207484e-02, 1.012502759784406e+05, -1.219955412722835e+00, 4.368833998606147e-02
130, 2.046557897807499e-01, 8.852797690180039e-02, 1.012518825626848e+05, -1.193726081059096e+00, 4.340578038780070e-02
131, 2.179518795477963e-01, 9.000108875997805e-02, 1.012536553505227e+05, -1.164783284976733e+00, 4.312474461203449e-02
132, 2.315368714054359e-01, 9.131846590868146e-02, 1.012552620328182e+05, -1.138552352514421e+00, 4.284000775838553e-02
133, 2.453990366492058e-01, 9.247981613825271e-02, 1.012570049396280e+05, -1.110097398510161e+00, 4.255797771656750e-02
134, 2.595267778094723e-01, 9.348430375190457e-02, 1.012585721100675e+05, -1.084511542442151e+00, 4.227510086723824e-02
135, 2.738881696052772e-01, 9.433116776106468e-02, 1.012602789152560e+05, -1.056645988840860e+00, 4.199330338585824e-02
136, 2.884818476758507e-01, 9.502076333485612e-02, 1.012618276049005e+05, -1.031361852963045e+00, 4.171218908370076e-02
137, 3.032963473535579e-01, 9.555439158554753e-02, 1.012634981797064e+05, -1.004087801937835e+00, 4.143097953742218e-02
138, 3.182998512227297e-01, 9.593188566982040e-02, 1.012650490886108e+05, -9.787674340946491e-01, 4.115469662414155e-02
139, 3.334809415471752e-01, 9.615505416537629e-02, 1.012666613277701e+05, -9.524457794526259e-01, 4.087800038829478e-02
140, 3.488384818653300e-01, 9.622527794840287e-02, 1.012682207084209e+05, -9.269871006268277e-01, 4.060796649743315e-02
141, 3.643407835472007e-01, 9.614407679299110e-02, 1.012697820234123e+05, -9.014968414711338e-01, 4.033490362732883e-02
142, 3.799663454152054e-01, 9.591378389739814e-02, 1.012713293021419e+05, -8.762357403979775e-01, 4.006485784608751e-02
143, 3.957141891377393e-01, 9.553638101330050e-02, 1.012728462732584e+05, -8.514694458924081e-01, 3.978909609114410e-02
144, 4.115629506039616e-01, 9.501616949726611e-02, 1.012744417132477e+05, -8.254220569819942e-01, 3.951645239565942e-02
