"Global_Index", "x_coord", "y_coord", "z_coord", "Pressure", "C<sub>p</sub>", "Mach"
1545, 7.650008577674055e-01, 0.000000000000000e+00, 5.351064676747168e-03, 1.059452302692820e+00, 9.187281894276421e-02, 7.784722631491657e-01
1582, 7.450009477802083e-01, 1.196300000000000e+00, 1.733508731838573e-02, 5.864241738303541e-01, -8.541834387821683e-01, 1.246100697863008e+00
1566, 1.030083539450996e+00, 1.196300000000000e+00, 1.293197025896638e-02, 9.238764632329635e-01, -1.792788599769497e-01, 8.230178737962797e-01
1546, 7.738830833018714e-01, 0.000000000000000e+00, 4.188751016620650e-03, 1.079607944369780e+00, 1.321841022966841e-01, 7.594240550812751e-01
2002, 7.187559329385694e-01, 1.178906256778221e+00, 1.572337660498958e-02, 4.089057211325023e-01, -1.209220344177872e+00, 1.486097540720487e+00
2003, 7.138705374425698e-01, 1.184022377829926e+00, 1.466294469393983e-02, 3.963758908970704e-01, -1.234280004648736e+00, 1.508762225679575e+00
2004, 7.133375741840992e-01, 1.191320125636562e+00, 1.392593141176238e-02, 4.092816364505003e-01, -1.208468513541876e+00, 1.490562915832830e+00
1586, 7.097421216971789e-01, 1.196300000000000e+00, 1.285718446994848e-02, 4.247727371097551e-01, -1.177486312223366e+00, 1.470362552414810e+00
2005, 7.064312378101443e-01, 1.193377036115376e+00, 1.258137608293178e-02, 3.930579685383512e-01, -1.240915849366174e+00, 1.530778725108819e+00
2006, 6.703850265288305e-01, 1.160390935820999e+00, 2.471685767311586e-03, 1.219128062803553e+00, 4.112243391642288e-01, 6.362698357935943e-01
2007, 7.258615072791688e-01, 1.178921077573427e+00, 1.654540843613003e-02, 4.604190866433470e-01, -1.106193613156182e+00, 1.396268002917639e+00
2008, 1.090253352432249e+00, 1.179728762063148e+00, 6.292690157827646e-03, 1.014449111645025e+00, 1.866436847174135e-03, 7.650541994138762e-01
2009, 1.091684324124115e+00, 1.167896743826468e+00, 5.722120631474662e-03, 1.026914794538866e+00, 2.679780263485475e-02, 7.561808171230181e-01
